event	event_id	twitter_id	created_at	text	news
Google I/O	20739	7.33009E+17	5/18/2016 18:57	Diagnosing diabetic retinopathy prevents blindness. Goal: make testing accessible through machine learning. #io16 https://t.co/UHXcB0bCnW	0.50
Google I/O	7987	7.32986E+17	5/18/2016 17:27	(Anyone remember "Android @ Home" from I/O 2011? https://t.co/BqbFiMA6AJ) #io16	0.00
Google I/O	19848	7.33006E+17	5/18/2016 18:48	.@raymondchung on #Periscope: Google #io16 Keynote - Live Stream https://t.co/bBGiuFtoC0	0.50
Google I/O	15317	7.32997E+17	5/18/2016 18:12	yeah! #VR #io16	0.00
Google I/O	5033	7.32981E+17	5/18/2016 17:08	#IO16 #google developer conference is underway. 7000+ people here 1m joining from china https://t.co/KVcoeEHTeg	0.50
Google I/O	23048	7.33034E+17	5/18/2016 20:39	With Android Instant Apps, youâ€™ll be able to run any app with one tap, no installation needed. #IO16  https://t.co/Hd69uZbXRN	1.00
Google I/O	4802	7.32981E+17	5/18/2016 17:06	#io16 un set special pour l/O de @Google #awesome welcoming intro ! https://t.co/H5BtCjfDug	0.00
Google I/O	4922	7.32981E+17	5/18/2016 17:07	Just started! :) #io16 #live #googlw https://t.co/CF5iLC7PNF	0.50
Google I/O	20906	7.33009E+17	5/18/2016 18:58	Welcome to the future : VR and AI #io16	0.00
Google I/O	10395	7.32989E+17	5/18/2016 17:40	Allo - smart replies can analyse photos and provide suggestive response #io16	1.00
Google I/O	10757	7.3299E+17	5/18/2016 17:42	If Google were smart, they would build Allo into all of Android as the base messenger to kill off IMessage #io16	0.00
Google I/O	12021	7.32992E+17	5/18/2016 17:50	#io16  https://t.co/UGbQuMrG8k Watch live !!	0.00
Google I/O	18300	7.33003E+17	5/18/2016 18:34	#io16 real android vr headsets will be probably far than the reference design	0.00
Google I/O	16687	7.32999E+17	5/18/2016 18:21	"we've rebuilt youtube from the ground up for VR. voice search, discovery, spatial audio, VR streaming..." #io16	1.00
Google I/O	14500	7.32996E+17	5/18/2016 18:06	#allo product icon PNGs, SVG, and Sketch file  https://t.co/Jq7Ih9nOQS  #materialdesign #io16 https://t.co/8taZEtQcuj	0.00
Google I/O	5317	7.32982E+17	5/18/2016 17:10	Watching #io16	0.00
Google I/O	11891	7.32992E+17	5/18/2016 17:49	â€œMaybe the other person has the wronâ€¦ a different kind of phone.â€ #io16	0.00
Google I/O	5587	7.32982E+17	5/18/2016 17:12	Google follows Microsoft and Facebook at focusing on digital assistant, intelligence, and bots with Google Assistant #io16	1.00
Google I/O	18913	7.33004E+17	5/18/2016 18:40	Other features include cloud messaging and notifications #io16	1.00
Google I/O	11140	7.3299E+17	5/18/2016 17:45	With that said, I'm damn well going to use the hell out of it. #io16	0.00
Google I/O	18313	7.33003E+17	5/18/2016 18:34	Android studio is now running 10x faster than 6 months ago  #AndroidStudio #GoogleIO2016 #io16	1.00
Google I/O	7161	7.32985E+17	5/18/2016 17:22	Ohai first #io16 announcements	0.50
Google I/O	3775	7.32978E+17	5/18/2016 16:55	TechCrunch: Watch Googleâ€™s I/O keynote live rightÂ here https://t.co/fjyjQeBEOA #IO16 https://t.co/C5kv0fmLK2	0.00
Google I/O	2674	7.32972E+17	5/18/2016 16:30	Wow, I wonder what contingency plan @Google had for bad weather? #io16	0.00
Google I/O	20615	7.33008E+17	5/18/2016 18:55	Next step in #Google robotics: We built the Cylons and #6 walks on stage   #BSG #IO16 #robotics	0.50
Google I/O	20908	7.33009E+17	5/18/2016 18:58	Let's push Machine learning over other techs! #io16 #gdgcoimbatore	0.00
Google I/O	21575	7.33013E+17	5/18/2016 19:16	Step aside Amazon Echo.. There's a new kid in the block #GoogleHome https://t.co/4X8u8QVEb4 #GoogleIO2016 #IO16 #lka https://t.co/U65RqJoEro	0.50
Google I/O	15397	7.32997E+17	5/18/2016 18:12	More #emojis of professional women that's what's up!! #io16	0.50
Google I/O	1594	7.32956E+17	5/18/2016 15:28	It's @google i/o day! Be sure to follow @MalarieGokey as she reports on the event for @DigitalTrends #io16 #DTio16 https://t.co/A4UPXfAkBQ	0.50
Google I/O	2116	7.32966E+17	5/18/2016 16:08	We're here! #io16 #digiflare @ Shoreline Amphitheatre At Mountain View https://t.co/tyY3NggvFe	0.00
Google I/O	1626	7.32957E+17	5/18/2016 15:32	almost 1 hour to #io16  https://t.co/VnQEuLxUo7	0.50
Google I/O	2186	7.32967E+17	5/18/2016 16:11	360ish selfie at Google #io16 with @mattmcgee @amir @darrenmurph @mattswider https://t.co/UzQNQrHgJ3	0.00
Google I/O	2188	7.32967E+17	5/18/2016 16:11	Wow, this is fun #io16 ðŸŽ‰ðŸ¤˜ðŸ¼ https://t.co/qEM6iE54Bt	0.00
Google I/O	3252	7.32976E+17	5/18/2016 16:47	Of course, since i didn't win a ticket, I think I'm going to be a lot more snarky and skeptical. #io16	0.00
Google I/O	8216	7.32986E+17	5/18/2016 17:29	Exit â€œOk Googleâ€, enter â€œHey Googleâ€ #IO16	0.00
Google I/O	6382	7.32984E+17	5/18/2016 17:17	Dear Sundar, please don't start with 'It's Friday night and...' for this. #io16	0.00
Google I/O	1469	7.32953E+17	5/18/2016 15:16	Today @ 10amPT: Join our reporters mhbergen inafried for live blogging of Google #io16. https://t.co/zwO9ecZ24c https://t.co/M0z0rLExjN #â€¦	0.00
Google I/O	22817	7.3303E+17	5/18/2016 20:24	Buy 1000 Twitter Followers=10$ Coke #io16 #weddinghour  https://t.co/Rdb3oRd5Sl	0.00
Google I/O	16855	7.33E+17	5/18/2016 18:22	Now onto Android Wear #io16	1.00
Google I/O	23429	7.33041E+17	5/18/2016 21:05	Tonight at #io16 https://t.co/BWYYLQFu3o https://t.co/QCYWp8XmqR	0.00
Google I/O	6813	7.32984E+17	5/18/2016 17:20	Google Home - first device running Google Assistant hands-free, awesome #io16	1.00
Google I/O	9070	7.32988E+17	5/18/2016 17:34	New @Google messaging app called allo. #io16 (I think its pronounced differently like "Ah-Low" not "Aloe" lol	1.00
Google I/O	17394	7.33001E+17	5/18/2016 18:25	engadget: The first class of Daydream ready smartphones https://t.co/G7xgvH92LM #io16 https://t.co/bMZThdndIe	0.50
Google I/O	23350	7.3304E+17	5/18/2016 21:00	Awesome! Me, Cem and Jay :) #io16 #jayway #jay @cem2ran https://t.co/pCKNT2ccg7	0.00
Google I/O	19770	7.33006E+17	5/18/2016 18:47	This is reminding me what I love about Google #io16	0.00
Google I/O	13781	7.32994E+17	5/18/2016 18:00	This is not going to bode well. https://t.co/mJCTmnBj2s #io16	0.00
Google I/O	2387	7.32969E+17	5/18/2016 16:19	It's happening ! #io16 https://t.co/qMKu0nuLbG	0.00
Google I/O	3189	7.32976E+17	5/18/2016 16:46	All ready for #ioextended16 #io16 #io16extended https://t.co/lEe6w7sStE	0.00
Google I/O	14843	7.32996E+17	5/18/2016 18:08	Split screen in android N allows you to watch a recipe video and shop for ingredients at the same time. #io16	1.00
Google I/O	6075	7.32983E+17	5/18/2016 17:15	Announcing the Google assistant #io16	1.00
Google I/O	6984	7.32984E+17	5/18/2016 17:21	#Google set to release Google Home assistant later this year to let you manage entertainment, devices. #io16	1.00
Google I/O	22631	7.33028E+17	5/18/2016 20:13	Android Instant Apps opens apps instantly, without installation #io16 https://t.co/jMM7pvbKNf via @verge #BIZBoost https://t.co/WwacKyzgyZ	1.00
Google I/O	7733	7.32986E+17	5/18/2016 17:25	Following #io16 on mobile...where the internet has taken us. https://t.co/e8aNTj1vCP	0.50
Google I/O	6873	7.32984E+17	5/18/2016 17:20	20% of Google Searches in US are Voice-based. #IO16	0.50
Google I/O	15882	7.32998E+17	5/18/2016 18:15	@google #daydream f'in nailed it on the branding. Best VR name. Ever. #io16 #iomad16 @CampusMadrid @mikethomas_tech https://t.co/Yj7eYYI1gg	0.00
Google I/O	9821	7.32989E+17	5/18/2016 17:37	Allo's suggested replies are based on how YOU type -- and they get to sound more like you the more you use it. Unlike Apple Watch. #io16	1.00
Google I/O	6908	7.32984E+17	5/18/2016 17:21	Google Home looks like a little cute IKEA thing #io16 https://t.co/O5hC5ngyQs	0.00
Google I/O	24472	7.33063E+17	5/18/2016 22:32	"The new build of firebase lets you build your app, grow your user base and earn money" ~@jasontitus #io16 #BIZBoost https://t.co/VfCoPb1RGL	1.00
Google I/O	15875	7.32998E+17	5/18/2016 18:15	VR should be mobile, approachable, and for everyone from @claybavor #io16 #googleedu	1.00
Google I/O	3233	7.32976E+17	5/18/2016 16:47	#io16 You get a Google cardboard when you attend the Google IO conference, so an announcement about update to Google VR coming up?	1.00
Google I/O	4321	7.3298E+17	5/18/2016 17:02	Wait a minute. There are actual humans playing instruments (an enormous harp?) making those sounds at #GoogleIO2016 right now. #io16	1.00
Google I/O	16826	7.33E+17	5/18/2016 18:21	You will be able to watch normal YT videos!!!1! #io16	0.00
Google I/O	605	7.32869E+17	5/18/2016 9:44	Irish chip firm Movidius could be the star of Google I/O: https://t.co/s94qZA22WW  #Ireland #Google #io16 #SmartPhone #Mobile #AI #Tech	0.00
Google I/O	24399	7.33061E+17	5/18/2016 22:24	Google by the numbers: Here's what I/O revealed https://t.co/qLGPRC9ZiJ #io16  https://t.co/qLGPRC9ZiJ	0.50
Google I/O	24216	7.33056E+17	5/18/2016 22:07	At this point I'm averaging 1 talk per day #io16	0.00
Google I/O	5937	7.32983E+17	5/18/2016 17:14	Watching #io16 live: https://t.co/U9UCw8wEMI So far, Google Assistant has launched.	1.00
Google I/O	12132	7.32992E+17	5/18/2016 17:50	Allo seems pretty good actually. But seriously, have you forgotten you have Hangouts? #io16	0.00
Google I/O	8098	7.32986E+17	5/18/2016 17:28	My God, the future is exciting [and kinda scary] #io16	0.00
Google I/O	5370	7.32982E+17	5/18/2016 17:11	Wow Google photos can now pick out the pictures of hugs if you search for "hugs" #io16	0.50
Google I/O	24325	7.33059E+17	5/18/2016 22:18	You are presenting "Accessibility" without closed captioning your presentation?! Cruel joke? #io16 @google @googledevs #GoogleMajorFail	0.00
Google I/O	9688	7.32988E+17	5/18/2016 17:36	Google now announcing better allcaps #io16	0.00
Google I/O	17784	7.33001E+17	5/18/2016 18:29	Excited for Google Assistant and Google Home to launch. Whoa. #IO16	0.50
Google I/O	2687	7.32972E+17	5/18/2016 16:30	Everything is all set for this #GoogleIO #keynote @SWMobile event @HLInvest office #Bristol Looking forward know all news from #IO16 #devs	0.50
Google I/O	752	7.32905E+17	5/18/2016 12:07	#Google introduces the sharing app #Spaces #technews #technology #apps #io16   via DisruptEurope.eu https://t.co/1DtvPo7u3u	1.00
Google I/O	3582	7.32977E+17	5/18/2016 16:51	#io16 starts soon... https://t.co/AoNBVqlvft	0.50
UEFA Champions League Final	155178	7.36672E+17	5/28/2016 21:35	Ffs had to be that son of a bitch, well no matter the result Diego has something for you.  #uclfinal https://t.co/r2krWyzr2h	0.00
UEFA Champions League Final	3503	7.36489E+17	5/28/2016 9:25	For the first time ever in the Champions League, goal line technology will be used tonight in the #UCLfinal https://t.co/KkUrULRU29	1.00
UEFA Champions League Final	142367	7.36671E+17	5/28/2016 21:28	Simone deserves this #uclfinal	0.00
UEFA Champions League Final	149486	7.36672E+17	5/28/2016 21:34	JuanFran has messed up! #uclfinal	0.50
UEFA Champions League Final	171300	7.36674E+17	5/28/2016 21:42	Seriously Madrid supporters, Bale worked the entire game, Ronaldo did nothing, how blind are you? #uclfinal	0.00
UEFA Champions League Final	159224	7.36673E+17	5/28/2016 21:36	Injusticia. #UCLFinal	0.00
UEFA Champions League Final	133031	7.36669E+17	5/28/2016 21:24	Sawa ya Busaale  May the best Team Win  #uclfinal	0.00
UEFA Champions League Final	110252	7.36659E+17	5/28/2016 20:43	Retweeted BBC Sport (@BBCSport):  FT: The #uclfinal goes into extra time.   #RealMadrid 1-1 #atleticomadrid Live:... https://t.co/6H0lBOiFJl	1.00
UEFA Champions League Final	54834	7.36635E+17	5/28/2016 19:06	I'll be back #UCLFINAL https://t.co/VZFEsEWdaJ	0.00
UEFA Champions League Final	29654	7.36628E+17	5/28/2016 18:38	@ajayhere ..i am going for Atleti win tonight and torres to score..which team you are supporting? #UCLFinal	0.00
UEFA Champions League Final	50346	7.36633E+17	5/28/2016 19:00	Waiting for Clattenberg to straight out tell Pepe to fuck off at some point #UCLfinal	0.00
UEFA Champions League Final	121946	7.36665E+17	5/28/2016 21:07	A win for @Atleti is a win for good vs evil #UCLfinal #atleti #torreswillscorethewinner	0.00
UEFA Champions League Final	122499	7.36666E+17	5/28/2016 21:08	There'd better be a goal, no amount of beer can make penalties bearable #uclfinal	0.00
UEFA Champions League Final	117649	7.36663E+17	5/28/2016 20:57	Real Madrid r can completely lost shouldn't have subbed KROOS #uclfinal	0.00
UEFA Champions League Final	55285	7.36635E+17	5/28/2016 19:06	Bale's man bun should be credited for the assist. #UCLfinal	0.00
UEFA Champions League Final	151827	7.36672E+17	5/28/2016 21:35	Congratulations to Real Madrid, 2016 Champions League winners! #uclfinal	1.00
UEFA Champions League Final	177356	7.36676E+17	5/28/2016 21:49	Haters gonn' hate #HalaMadrid #uclfinal @Cristiano	0.00
UEFA Champions League Final	142182	7.36671E+17	5/28/2016 21:28	Keylor Navas is world class.. But saving penalties is more about luck than ability.. #uclfinal	0.00
UEFA Champions League Final	45491	7.36632E+17	5/28/2016 18:54	Let's hope for a great game of #football #UCLfinal #RealAtleti https://t.co/aMwhWUPyNF	0.00
UEFA Champions League Final	66313	7.36642E+17	5/28/2016 19:34	Bbq, drinks and #uclfinal top evening	0.00
UEFA Champions League Final	17606	7.36611E+17	5/28/2016 17:30	GOOOOOOOOOOOL! do Hull City! #inglesnaESPN #uclfinal	0.50
UEFA Champions League Final	130499	7.36669E+17	5/28/2016 21:23	Not a Clattenburg fan, but loved his reaction to Pepe's appalling play acting just then #uclfinal	0.00
UEFA Champions League Final	46985	7.36632E+17	5/28/2016 18:56	Oooo thats a save by #JanOblak #uclfinal	1.00
UEFA Champions League Final	154193	7.36672E+17	5/28/2016 21:35	There's no rush, why did Juanfran hurry through the process!? #UCLFinal	0.00
UEFA Champions League Final	44665	7.36631E+17	5/28/2016 18:52	#uclfinal I'm Jim Champion &amp; Im here with my co-commentator: Jim Beglin. And we're now underway!	0.00
UEFA Champions League Final	179161	7.36676E+17	5/28/2016 21:52	Congratulations to Real Madrid for winning the ucl for a record 11th time #uclfinal	1.00
UEFA Champions League Final	8151	7.36544E+17	5/28/2016 13:05	Waw extraordinary voice https://t.co/NTVfOuwHbL #voicekids3ph #uclfinal  #halamadridynadamas #ä¸–ã«ã‚‚å¥‡å¦™ãªç‰©èªž #monacogp #SouhilaBenLachhab 1	0.00
UEFA Champions League Final	87455	7.36653E+17	5/28/2016 20:20	Never had Zidane down as a pragmatist #uclfinal	0.00
UEFA Champions League Final	28506	7.36627E+17	5/28/2016 18:37	This girl is on fireeeeeeee #uclfinal	0.00
UEFA Champions League Final	62410	7.36639E+17	5/28/2016 19:21	From the Worst signing to the best player  #Modric #uclfinal	0.00
UEFA Champions League Final	96455	7.36655E+17	5/28/2016 20:28	Beauty!! #VamosAtleti #uclfinal	0.00
UEFA Champions League Final	77995	7.36647E+17	5/28/2016 19:56	What. A. Miss! #UCLfinal	0.50
UEFA Champions League Final	146511	7.36671E+17	5/28/2016 21:32	GOL Bale. Penalties: RM 3-2 ATM. #UCLfinal	1.00
UEFA Champions League Final	79189	7.36648E+17	5/28/2016 19:57	I knew that penalty wasn't deserved. #uclfinal	0.00
UEFA Champions League Final	21903	7.36621E+17	5/28/2016 18:10	Team news ahead of the #UCLfinal https://t.co/4cRmbndlH2	0.00
UEFA Champions League Final	162856	7.36673E+17	5/28/2016 21:38	Well that ending was just totally wrong #uclfinal	0.00
UEFA Champions League Final	126042	7.36668E+17	5/28/2016 21:17	Thomas Partey Time #uclfinal	0.00
UEFA Champions League Final	120378	7.36664E+17	5/28/2016 21:04	No James, no party.. #uclfinal	0.00
UEFA Champions League Final	159818	7.36673E+17	5/28/2016 21:37	Maybe Oblak should have, you know, dived? #uclfinal	0.00
UEFA Champions League Final	65874	7.36642E+17	5/28/2016 19:33	9 year old just said did you know Gareth Bale is from Wales, but he speaks really good English ðŸ¤ðŸ˜‚ #uclfinal	0.00
UEFA Champions League Final	192151	7.36704E+17	5/28/2016 23:43	Juanfran and Griezmann won't be sleeping well tonight. #Penaltychampions #UCLfinal	0.00
UEFA Champions League Final	19842	7.36617E+17	5/28/2016 17:55	#uclfinal The much awaited game is here. Go Atletico Go.	0.00
UEFA Champions League Final	118241	7.36663E+17	5/28/2016 20:58	Another waste of space is Torres.  #uclfinal	0.00
UEFA Champions League Final	61523	7.36638E+17	5/28/2016 19:18	Great goal from Ramos....  #uclfinal  #HalaMadrid	1.00
UEFA Champions League Final	150455	7.36672E+17	5/28/2016 21:34	ACAABOOOOOOOOOOOOUUUUUUUU #uclfinal	0.00
UEFA Champions League Final	143929	7.36671E+17	5/28/2016 21:29	Lite work #uclfinal	0.00
UEFA Champions League Final	17173	7.36609E+17	5/28/2016 17:24	PREDICTS!! #uclfinal  #RMVSATM  #RMFC	0.00
UEFA Champions League Final	132811	7.36669E+17	5/28/2016 21:24	Penalties it is #UCLfinal	1.00
UEFA Champions League Final	28192	7.36627E+17	5/28/2016 18:36	#uclfinal backing Real today only cuz of Zidane	0.00
UEFA Champions League Final	118856	7.36663E+17	5/28/2016 21:00	It's @realmadriden 1 - #atleticomadrid  1watching 4rm barn #bushfire2016 #uclfinal #SSFootball @HouseOnFireSD #BushFireFestival @Zama_Bisto	0.50
UEFA Champions League Final	170641	7.36674E+17	5/28/2016 21:41	Athletico deserved that, not real madrid :/ #uclfinal	0.00
UEFA Champions League Final	46681	7.36632E+17	5/28/2016 18:56	What a save! #uclfinal	0.50
UEFA Champions League Final	64863	7.36641E+17	5/28/2016 19:30	ðŸ’© #uclfinal Williams admits Bale worry for UCL final https://t.co/DKhn9Wz6F9  ðŸ‘¿ðŸ’©	0.00
UEFA Champions League Final	77689	7.36647E+17	5/28/2016 19:56	State of that penalty, taken like a Sunday League player just kick it as hard as you can... Where's a bit of composure? #uclfinal	0.00
UEFA Champions League Final	147591	7.36672E+17	5/28/2016 21:32	What is Oblak doing? Someone glued his feet down or something? #uclfinal #RMVSATM	0.00
UEFA Champions League Final	138506	7.3667E+17	5/28/2016 21:26	Torres and Griezman..this is your time!!! #uclfinal	0.00
UEFA Champions League Final	50673	7.36633E+17	5/28/2016 19:01	#RealMadrid looking fresh and energetic. #uclfinal #halamadrid	0.50
UEFA Champions League Final	66375	7.36642E+17	5/28/2016 19:35	My philosophy doing well at @atletienglish #UclFinal https://t.co/V189g70o9A	0.00
UEFA Champions League Final	28162	7.36627E+17	5/28/2016 18:36	At a pizza place pub with a 56 inch th right in front of me for the #uclfinal life is gr8	0.00
UEFA Champions League Final	108622	7.36659E+17	5/28/2016 20:42	OVERTIME! #uclfinal	0.50
UEFA Champions League Final	143039	7.36671E+17	5/28/2016 21:29	Who Will Win The PENALTY SHOOT OUT? #UCLFINAL	0.00
UEFA Champions League Final	62950	7.36639E+17	5/28/2016 19:23	When you hear there's a half-price sale at the Tanning Shop #UCLFinal https://t.co/KHdMBH9XoZ	0.00
UEFA Champions League Final	64590	7.3664E+17	5/28/2016 19:29	Is it just me, or does Toni Kroos look ill? #uclfinal #championsleaguefinal2016	0.00
UEFA Champions League Final	48097	7.36632E+17	5/28/2016 18:57	Let's go Madrid! #UCLFinal	0.00
UEFA Champions League Final	21233	7.3662E+17	5/28/2016 18:06	All about @Atleti tonight #uclfinal	0.00
UEFA Champions League Final	95585	7.36655E+17	5/28/2016 20:27	Well deserved, game on! #UCLfinal	0.00
UEFA Champions League Final	108779	7.36659E+17	5/28/2016 20:42	The 90 minutes are up. To extra time we go! #uclfinal	1.00
UEFA Champions League Final	106472	7.36658E+17	5/28/2016 20:37	Gareth bale is just an absolute baller #Bale #uclfinal	0.00
UEFA Champions League Final	92090	7.36655E+17	5/28/2016 20:26	#uclfinal gooool lolollo	0.50
UEFA Champions League Final	113005	7.3666E+17	5/28/2016 20:46	CR7 hasn't brought the goods in 90mins. Lets hope he does in 30min. #halamadrid #UCLFinal	0.00
UEFA Champions League Final	26204	7.36626E+17	5/28/2016 18:31	Hoping for a good game, kinda sad @FCBayern isnt part of this #uclfinal #RealvsAtletico @ChampionsLeague https://t.co/mQ4HTHzeK4	0.00
UEFA Champions League Final	12412	7.36583E+17	5/28/2016 15:39	Who's gonna win ? #UCLFinal	0.00
UEFA Champions League Final	236	7.36377E+17	5/28/2016 2:01	it's #HarryPotterWeekend, the #UCLfinal is tomorrow, this weekend about to be lit. #HalaMadrid ðŸ”¥	0.00
UEFA Champions League Final	89819	7.36654E+17	5/28/2016 20:22	Pepe, nominated for the next oscars! So ... dumb. #uclfinal	0.00
UEFA Champions League Final	67410	7.36643E+17	5/28/2016 19:37	Lets win this! #HalaMadrid #uclfinal	0.00
UEFA Champions League Final	85010	7.36651E+17	5/28/2016 20:12	Casmeiro - Modrid - Kroos are bossing the midfield big time #uclfinal	1.00
UEFA Champions League Final	172153	7.36674E+17	5/28/2016 21:42	You're The Champions !! #HalaMadrid #aporlaunadecima #uclfinal #MadridistaIndonesia https://t.co/NDLIT0RldI	0.00
UEFA Champions League Final	160625	7.36673E+17	5/28/2016 21:37	Congratulations to Real Madrid!ðŸ‘ðŸ†âš½ï¸ #HalaMadrid #UCLFinal	0.50
UEFA Champions League Final	40147	7.3663E+17	5/28/2016 18:48	LETS GOOOOO #uclfinal	0.00
UEFA Champions League Final	65542	7.36641E+17	5/28/2016 19:32	43 - Griezmann cuts inside and gets a shot away. Again! The Frenchman is desperate to pull his team back in to this game! #uclfinal	1.00
UEFA Champions League Final	96337	7.36655E+17	5/28/2016 20:28	I hope that female was Carrassco's girlfriend.. Fair play if it wasn't mind... #UCLFinal	0.00
UEFA Champions League Final	179430	7.36677E+17	5/28/2016 21:52	#AthleticoMadrid IMO did better and should've won. Congrats #RealMadrid for winning. #uclfinal	0.00
UEFA Champions League Final	54205	7.36635E+17	5/28/2016 19:05	Bet @Nick28T is dancing on stream right now #uclfinal	0.00
UEFA Champions League Final	149722	7.36672E+17	5/28/2016 21:34	#UCLFinal. Penalty shoot out. Juanfran..  Misses. 4-3.	1.00
UEFA Champions League Final	71449	7.36645E+17	5/28/2016 19:47	HT:1-0 to Real. #uclfinal #HalaMadrid	1.00
UEFA Champions League Final	31930	7.36628E+17	5/28/2016 18:41	Why is this ceremony 100x better than the whole FIFA 2014 World Cup event? #UCLFINAL	0.00
UEFA Champions League Final	71479	7.36645E+17	5/28/2016 19:47	Real Madrid have been fantastic that first half #UCLFinal	1.00
UEFA Champions League Final	5811	7.36517E+17	5/28/2016 11:17	It's the Champions League Final today... Who is your Money on? #UCL #UCLFinal #Oceans11	0.00
UEFA Champions League Final	78779	7.36648E+17	5/28/2016 19:57	#UCLfinal penalty to Atletico penalty MISSED	1.00
UEFA Champions League Final	136605	7.3667E+17	5/28/2016 21:25	I've never been this neutral in a #UCLFINAL. Mission Accomplished!!! Penalty Shootout! ðŸ˜‚ðŸ˜‚ðŸ˜‚	0.00
UEFA Champions League Final	18531	7.36614E+17	5/28/2016 17:42	COME ON ATLETICOðŸ†âš½ï¸ðŸ™ðŸ½â€¼ï¸ #UCLFinal	0.00
UEFA Champions League Final	151345	7.36672E+17	5/28/2016 21:35	Congrats to Real Madrid on winning their 11th #uclfinal	1.00
UEFA Champions League Final	30146	7.36628E+17	5/28/2016 18:39	Believe In #CR7 Believe In #APorLaUndecima #UCLfinal #HalaMadrid https://t.co/eDep8eHtXR	0.00
UEFA Champions League Final	156110	7.36672E+17	5/28/2016 21:36	Juanfrans had a nightmare #uclfinal	0.00
UEFA Champions League Final	36025	7.36629E+17	5/28/2016 18:45	Atletico better win tonight #uclfinal	0.00
UEFA Champions League Final	581	7.36411E+17	5/28/2016 4:19	I dreamt that we won #UCLfinal 2-0 and Cristiano scored the 2nd ,i don't remember who scored the 1st but yeah we won #AporLaUnaDecima ðŸ˜­	0.00
UEFA Champions League Final	42028	7.36631E+17	5/28/2016 18:50	Affliction shall not rise the second time....go athletico madrid...its your time #uclfinal	0.00
