event	twitter_id	news	question	advertisement	opinion	quote	sarcasm	explicit	lang	error
Apple Worldwide Developer Conference	742401272859492352	0	0	1	0	0	0	0	0	0
Apple Worldwide Developer Conference	742401900406935552	1	0	0	0	0	0	0	0	0
Apple Worldwide Developer Conference	742402677364002816	0	0	0	0	0	0	0	0	0
Apple Worldwide Developer Conference	742402781710012416	0	0	0	1	0	0	0	0	0
Apple Worldwide Developer Conference	742403553201815552	0	0	0	0	0	0	0	0	0
Apple Worldwide Developer Conference	742403597711867904	0	0	0	0	0	0	0	0	0
Apple Worldwide Developer Conference	742404059101986816	1	0	1	0	0	0	0	0	0
Apple Worldwide Developer Conference	742404158867673089	0	0	1	0	0	0	0	0	0
Apple Worldwide Developer Conference	742404468222758914	0	0	1	0	0	0	0	0	0
Apple Worldwide Developer Conference	742404504541384704	0	0	0	1	0	0	0	0	0
Apple Worldwide Developer Conference	742405867576819712	0	0	1	0	0	0	0	0	0
Apple Worldwide Developer Conference	742406004739059712	0	0	0	0	0	0	0	0	0
Apple Worldwide Developer Conference	742407246844289025	0	0	0	1	0	0	0	0	0
Apple Worldwide Developer Conference	742408403784499200	0	0	0	0	0	0	0	0	0
Apple Worldwide Developer Conference	742409855357583361	1	0	0	0	0	0	0	0	0
Apple Worldwide Developer Conference	742410275425374208	1	0	0	0	0	0	0	0	0
Apple Worldwide Developer Conference	742410294891188224	0	0	0	1	0	0	0	0	0
Apple Worldwide Developer Conference	742410354618183680	0	0	0	1	0	0	0	0	0
Apple Worldwide Developer Conference	742410505608826880	1	0	0	0	0	0	0	0	0
Apple Worldwide Developer Conference	742410600484065284	0	0	0	0	0	0	0	0	0
Apple Worldwide Developer Conference	742411051438878721	1	0	0	1	0	0	0	0	0
Apple Worldwide Developer Conference	742411063971348480	1	0	1	0	0	0	0	0	0
Apple Worldwide Developer Conference	742412134751993857	1	0	1	0	0	0	0	0	0
Apple Worldwide Developer Conference	742412517666783232	0	0	0	0	0	0	0	0	0
Apple Worldwide Developer Conference	742412668557004800	1	0	0	1	0	0	0	0	0
Apple Worldwide Developer Conference	742412700496465921	0	0	0	1	0	0	0	0	0
Apple Worldwide Developer Conference	742413751815540737	0	0	0	0	0	0	0	0	0
Apple Worldwide Developer Conference	742413780697513985	0	0	0	0	0	0	0	0	0
Apple Worldwide Developer Conference	742413919797403649	0	0	0	1	0	0	0	0	0
Apple Worldwide Developer Conference	742414128782974976	0	0	0	0	0	0	0	0	0
Apple Worldwide Developer Conference	742414194193145856	0	0	1	0	0	0	0	0	0
Apple Worldwide Developer Conference	742414214698917888	0	0	0	0	0	0	0	0	0
Apple Worldwide Developer Conference	742415084190859264	1	0	0	0	0	0	0	0	0
Apple Worldwide Developer Conference	742415354245349377	0	0	0	1	0	0	0	0	0
Apple Worldwide Developer Conference	742415356908670977	1	0	1	0	0	0	0	0	0
Apple Worldwide Developer Conference	742415439389564928	1	0	0	1	0	0	0	0	0
Apple Worldwide Developer Conference	742419012924116992	0	0	0	1	0	0	0	0	0
Apple Worldwide Developer Conference	742419022658953216	1	0	0	0	0	0	0	0	0
Apple Worldwide Developer Conference	742419619239976960	0	0	0	0	0	0	0	0	0
Apple Worldwide Developer Conference	742419694741639168	1	0	0	1	0	0	0	0	0
Apple Worldwide Developer Conference	742419747262758912	0	0	0	1	0	0	0	0	0
Apple Worldwide Developer Conference	742420135248572418	0	0	0	1	0	0	0	0	0
Apple Worldwide Developer Conference	742422509027364865	1	0	0	0	0	0	0	0	0
Apple Worldwide Developer Conference	742422525288714240	0	0	0	0	0	0	0	0	0
Apple Worldwide Developer Conference	742423066119147520	0	0	0	1	0	0	0	0	0
Apple Worldwide Developer Conference	742423082854277120	0	0	0	1	0	0	0	0	0
Apple Worldwide Developer Conference	742423089275936768	0	0	0	0	0	0	0	0	0
Apple Worldwide Developer Conference	742423169131155457	1	0	1	0	0	0	0	0	0
Apple Worldwide Developer Conference	742423525126987777	0	0	0	1	0	0	0	0	0
Apple Worldwide Developer Conference	742423856334405632	1	0	0	0	0	0	0	0	0
Apple Worldwide Developer Conference	742424222199218176	0	0	1	0	0	0	0	0	0
Apple Worldwide Developer Conference	742425130534637569	0	0	0	1	0	0	0	0	0
Apple Worldwide Developer Conference	742425313834086405	0	0	0	0	0	0	0	0	0
Apple Worldwide Developer Conference	742425328404992000	1	0	1	0	0	0	0	0	0
Apple Worldwide Developer Conference	742425370335444992	0	0	0	0	0	0	0	0	0
Apple Worldwide Developer Conference	742430391659683840	0	0	0	0	0	0	0	0	0
Apple Worldwide Developer Conference	742431945292812288	1	0	0	0	0	0	0	0	0
Apple Worldwide Developer Conference	742432327289049088	0	0	0	1	0	0	0	0	0
Apple Worldwide Developer Conference	742435419309105152	0	0	0	0	0	0	0	0	0
Apple Worldwide Developer Conference	742436383109877761	0	0	1	0	0	0	0	0	0
Apple Worldwide Developer Conference	742436567998828545	0	0	1	0	0	0	0	0	0
Apple Worldwide Developer Conference	742437600401625089	1	0	0	0	0	0	0	0	0
Apple Worldwide Developer Conference	742438005311438848	0	0	0	0	0	0	0	0	1
Apple Worldwide Developer Conference	742440629645512705	1	0	0	0	0	0	0	0	0
Apple Worldwide Developer Conference	742463157248090113	0	0	0	0	0	0	0	0	0
French Open Finals	739089847500034052	1	0	0	0	0	0	0	0	0
French Open Finals	739093550017720321	1	0	0	0	0	0	0	0	0
French Open Finals	739096600954294272	0	0	1	1	0	0	0	0	0
French Open Finals	739098364621422592	1	0	0	0	1	0	0	0	0
French Open Finals	739098399228715010	1	0	0	0	0	0	0	0	0
French Open Finals	739098550085292032	1	0	0	0	0	0	0	0	0
French Open Finals	739101857205784577	0	0	0	1	0	0	0	0	0
French Open Finals	739102958730813440	0	0	0	1	0	0	0	0	0
French Open Finals	739106732127846402	0	0	0	1	0	0	0	0	0
French Open Finals	739106917130375168	1	0	0	0	0	0	0	0	0
French Open Finals	739109267190517761	0	0	0	0	0	0	0	0	0
French Open Finals	739109329438150656	1	0	0	0	0	0	0	0	0
French Open Finals	739109396395888640	0	0	0	0	0	0	0	0	0
French Open Finals	739110228260704258	0	0	0	0	0	0	0	0	0
French Open Finals	739110362105139200	1	0	0	0	0	0	0	0	0
French Open Finals	739110762933833728	1	0	0	0	0	0	0	0	0
French Open Finals	739111516302114816	1	0	0	1	0	0	0	0	0
French Open Finals	739114531700539392	0	0	0	0	0	0	0	0	0
French Open Finals	739114733207330816	1	0	0	0	0	0	0	0	0
French Open Finals	739148223416307714	1	0	0	0	0	0	0	0	0
French Open Finals	739150142192914432	1	0	0	1	0	0	0	0	0
French Open Finals	739163412303732736	1	0	0	0	0	0	0	0	0
French Open Finals	739234060485197825	1	0	0	0	1	0	0	0	0
French Open Finals	739390356261883905	0	0	0	1	0	0	0	0	0
French Open Finals	739441157663555585	0	0	0	0	0	0	0	0	0
French Open Finals	739442485135433729	0	0	0	1	0	0	0	0	0
French Open Finals	739442521214988288	0	0	0	0	0	0	0	0	0
French Open Finals	739442595252871168	0	0	0	0	0	0	0	0	0
French Open Finals	739446250609725440	0	0	0	0	0	0	0	0	0
French Open Finals	739446355320541184	0	0	0	0	0	0	0	0	0
French Open Finals	739447525464281088	0	0	0	0	0	0	0	0	0
French Open Finals	739447619613786112	0	0	0	1	0	0	0	0	0
French Open Finals	739449383025004544	0	0	0	1	0	0	0	0	0
French Open Finals	739449386908934144	1	0	0	1	0	0	0	0	0
French Open Finals	739449419268038656	0	0	0	0	0	0	0	0	0
French Open Finals	739450329092087808	0	0	0	0	0	0	0	0	0
French Open Finals	739450386654728193	0	0	0	1	0	0	0	0	0
French Open Finals	739455841808584704	0	0	0	1	0	0	0	0	0
French Open Finals	739456755436949504	1	0	0	0	0	0	0	0	0
French Open Finals	739456761267167232	1	0	0	0	0	0	0	0	0
French Open Finals	739458444978049026	0	0	0	1	0	0	0	0	0
French Open Finals	739460373506449408	0	0	1	0	0	0	0	0	0
French Open Finals	739460437251641344	1	0	0	0	0	0	0	0	0
French Open Finals	739465035857154048	1	0	0	1	0	0	0	0	0
French Open Finals	739465798880727042	0	0	0	0	0	0	0	0	0
French Open Finals	739477553233186816	1	0	0	0	0	0	0	0	0
French Open Finals	739477708267237376	1	0	0	0	0	0	0	0	0
French Open Finals	739482533679792128	0	0	0	1	0	0	0	0	0
French Open Finals	739487066283708416	0	0	0	1	0	0	0	0	0
French Open Finals	739488212284899328	1	0	0	1	0	0	0	0	0
French Open Finals	739488240034422784	0	0	1	0	0	0	0	0	0
French Open Finals	739489532345733120	1	0	0	0	0	0	0	0	0
French Open Finals	739489564323110912	1	0	0	0	0	0	0	0	0
French Open Finals	739490639549587456	0	0	0	1	0	0	0	0	0
French Open Finals	739490655609589760	0	0	0	0	0	0	0	0	0
French Open Finals	739491418562023424	1	0	0	0	0	0	0	0	0
French Open Finals	739491440464670720	0	0	0	0	0	0	0	0	0
French Open Finals	739491468369350656	1	0	0	1	0	0	0	0	0
French Open Finals	739491501198184449	1	0	0	0	0	0	0	0	0
French Open Finals	739491536405200896	1	0	0	1	0	0	0	0	0
French Open Finals	739491577412915200	0	0	0	0	0	0	0	0	0
French Open Finals	739491857600778241	0	0	0	1	0	0	0	0	0
French Open Finals	739495340030742530	0	0	0	1	0	0	0	0	0
French Open Finals	739495836485341184	0	0	1	0	0	0	0	0	0
French Open Finals	739498977536692226	1	0	0	1	0	0	0	0	0
French Open Finals	739499692262850560	0	0	0	1	0	0	0	0	0
French Open Finals	739501919811600385	1	0	0	0	0	0	0	0	0
French Open Finals	739503826114367488	0	0	0	1	0	0	0	0	0
French Open Finals	739506066975756288	0	0	0	0	0	0	0	0	0
French Open Finals	739507451758809089	0	0	0	0	0	0	0	0	0
French Open Finals	739525940884078596	0	0	0	1	0	0	0	0	0
French Open Finals	739536699374604288	1	0	0	0	1	0	0	0	0
French Open Finals	739539830581796865	1	0	0	0	0	0	0	0	0
Google I/O	732728884571996161	1	0	0	0	0	0	0	0	0
Google I/O	732970953446023168	0	0	0	0	0	0	0	0	0
Google I/O	732972579414147074	0	0	0	0	0	0	0	0	0
Google I/O	732975318642917377	1	0	0	0	0	0	0	0	0
Google I/O	732975533374472192	0	0	0	0	0	0	0	0	0
Google I/O	732975556229206016	1	0	0	0	0	0	0	0	0
Google I/O	732975718150213634	1	0	0	0	0	0	0	0	0
Google I/O	732975841928314880	0	0	0	1	0	0	0	0	0
Google I/O	732979590184980481	0	0	1	0	0	0	0	0	0
Google I/O	732980432791179264	1	0	0	0	0	0	0	0	0
Google I/O	732980578962812928	1	0	1	0	0	0	0	0	0
Google I/O	732981249703313408	0	0	0	0	1	0	0	0	0
Google I/O	732981883961782274	0	0	0	1	0	0	0	0	0
Google I/O	732982032813465600	0	0	0	1	0	0	0	0	0
Google I/O	732982233087283200	1	0	0	0	1	0	0	0	0
Google I/O	732982713972621312	0	0	0	0	0	0	0	0	0
Google I/O	732983495262232576	0	0	0	1	0	0	0	0	0
Google I/O	732983585976655874	0	0	0	0	0	0	0	0	0
Google I/O	732983871730409473	0	0	0	1	0	0	0	0	0
Google I/O	732983948050059264	0	0	0	0	0	0	0	0	0
Google I/O	732984210596630528	1	0	0	0	0	0	0	0	0
Google I/O	732984268410998785	0	0	1	0	0	0	0	0	0
Google I/O	732986593863204864	1	0	0	1	0	0	0	0	0
Google I/O	732987528471515136	0	0	1	0	0	0	0	0	0
Google I/O	732987821464555520	1	0	0	0	0	0	0	0	0
Google I/O	732988343441461248	0	0	1	0	0	0	0	0	0
Google I/O	732988622878715904	0	0	0	0	0	0	0	0	0
Google I/O	732988813216124929	0	0	0	0	0	0	0	0	0
Google I/O	732988912948379648	0	0	1	0	0	0	0	0	0
Google I/O	732989665117102081	0	0	0	0	0	0	0	0	0
Google I/O	732989688022081536	0	0	1	1	0	0	0	0	0
Google I/O	732990914516254722	0	0	0	0	0	0	0	0	0
Google I/O	732991032938352642	0	0	1	0	0	0	0	0	0
Google I/O	732991529715912705	1	0	1	0	0	0	0	0	0
Google I/O	732991965902438404	0	0	0	1	0	0	0	0	0
Google I/O	732992040242315264	0	0	0	0	0	0	0	0	0
Google I/O	732992623804317696	0	0	1	0	0	0	0	0	0
Google I/O	732993033994706944	0	0	1	0	0	0	0	0	0
Google I/O	732993153100316672	0	0	0	0	0	0	0	0	0
Google I/O	732993984113610752	0	0	1	0	0	0	0	0	0
Google I/O	732995892609961985	0	0	0	1	0	0	0	0	0
Google I/O	732996233573195777	0	0	1	0	0	0	0	0	0
Google I/O	732996399969755136	0	0	1	0	0	0	0	0	0
Google I/O	732996479569285120	1	0	1	0	0	0	0	0	0
Google I/O	732996507851497472	0	0	1	0	0	0	0	0	0
Google I/O	732996980457111553	0	0	1	0	0	0	0	0	0
Google I/O	732997554737152000	0	0	1	0	0	0	0	0	0
Google I/O	732997701290229760	1	0	0	0	0	0	0	0	0
Google I/O	732998759911591937	1	0	0	1	0	0	0	0	0
Google I/O	732998796142120961	0	0	0	0	0	0	0	0	0
Google I/O	732999129803132928	0	0	1	0	0	0	0	0	0
Google I/O	732999475615010816	0	0	0	0	0	0	0	0	0
Google I/O	732999549170647040	0	0	1	0	0	0	0	0	0
Google I/O	733000170581938176	1	0	0	0	0	0	0	0	0
Google I/O	733000171760418816	0	0	0	1	0	0	0	0	0
Google I/O	733000210734055427	0	0	0	0	0	0	0	0	0
Google I/O	733000948306444288	0	0	0	0	0	0	0	0	0
Google I/O	733003781458157568	0	0	0	0	0	0	0	0	0
Google I/O	733003846323167233	0	0	0	1	0	0	0	0	0
Google I/O	733004357420081152	0	0	1	0	0	0	0	0	0
Google I/O	733004450131025921	0	0	0	0	0	0	0	0	0
Google I/O	733005524074147840	0	0	0	1	0	0	0	0	0
Google I/O	733005676847497218	1	0	0	0	0	0	0	0	0
Google I/O	733006495995006978	1	0	1	0	0	0	0	0	0
Google I/O	733006535195000832	1	0	0	0	0	0	0	0	0
Google I/O	733008374233726976	0	0	0	0	0	0	0	0	0
Google I/O	733008840510279680	1	0	0	1	0	0	0	0	0
Google I/O	733009228600889345	0	0	1	0	0	0	0	0	0
Google I/O	733011658197454848	0	0	1	0	0	0	0	0	0
Google I/O	733012164643069956	0	0	0	1	0	0	0	0	0
Lenovo Tech World	740391119461056512	0	0	1	0	0	0	0	0	0
Lenovo Tech World	740477591266693120	0	0	1	0	0	0	0	0	0
Lenovo Tech World	740532586393526272	0	0	1	0	0	0	0	0	0
Lenovo Tech World	740576632797290496	1	0	1	0	0	0	0	0	0
Lenovo Tech World	740618404198027265	1	0	1	0	0	0	0	0	0
Lenovo Tech World	740644242339434497	0	0	0	0	0	0	0	0	0
Lenovo Tech World	740676033146421248	1	0	1	0	0	0	0	0	0
Lenovo Tech World	740727485310992384	0	0	0	1	0	0	0	0	0
Lenovo Tech World	740751030279909376	0	0	1	0	0	0	0	0	0
Lenovo Tech World	740819322143137796	0	0	0	0	0	0	0	0	0
Lenovo Tech World	740897569304383488	0	0	0	1	0	0	0	0	0
Lenovo Tech World	740899276738289664	0	0	0	0	0	0	0	0	0
Lenovo Tech World	740904247152148480	0	0	0	1	0	0	0	0	0
Lenovo Tech World	740915241467318276	0	0	0	1	0	0	0	0	0
Lenovo Tech World	740918019795226625	0	0	0	1	0	0	0	0	0
Lenovo Tech World	740924423591452673	0	0	0	1	0	0	0	0	0
Lenovo Tech World	740924579200126976	0	0	0	0	0	0	0	0	0
Lenovo Tech World	740940151803678720	0	0	0	1	0	0	0	0	0
Lenovo Tech World	740940160930435072	0	0	1	0	0	0	0	0	0
Lenovo Tech World	740941834239639552	0	0	0	0	0	0	0	0	0
Lenovo Tech World	740945783650983936	0	0	0	0	0	0	0	0	0
Lenovo Tech World	740951691894398976	1	0	1	0	0	0	0	0	0
Lenovo Tech World	740951776459792385	0	0	0	0	0	0	0	0	0
Lenovo Tech World	740952257731002369	1	0	0	0	0	0	0	0	0
Lenovo Tech World	740952358897602562	0	0	0	0	0	0	0	0	0
Lenovo Tech World	740955410891444224	1	0	0	0	0	0	0	0	0
Lenovo Tech World	740955511625940992	0	0	0	1	0	0	0	0	0
Lenovo Tech World	740955902040113153	1	0	0	1	0	0	0	0	0
Lenovo Tech World	740958385722384384	1	0	0	1	0	0	0	0	0
Lenovo Tech World	740958397772800004	0	0	0	1	0	0	0	0	0
Lenovo Tech World	740959514229280768	0	0	0	1	0	0	0	0	0
Lenovo Tech World	740959608596992000	1	0	0	0	0	0	0	0	0
Lenovo Tech World	740960734658564096	0	0	0	1	0	0	0	0	0
Lenovo Tech World	740961179397414912	1	0	1	0	0	0	0	0	0
Lenovo Tech World	740962011530461185	1	0	1	0	0	0	0	0	0
Lenovo Tech World	740962153167880192	0	0	0	0	0	0	0	0	0
Lenovo Tech World	740963426298531840	0	0	0	1	0	0	0	0	0
Lenovo Tech World	740963783217012736	1	0	1	0	0	0	0	0	0
Lenovo Tech World	740964282477613057	0	0	0	0	0	0	0	0	0
Lenovo Tech World	740964362530258945	0	0	0	0	0	0	0	0	0
Lenovo Tech World	740965101893779456	1	0	0	1	0	0	0	0	0
Lenovo Tech World	740965155467583488	0	0	0	1	0	0	0	0	0
Lenovo Tech World	740965802078314496	1	0	1	0	0	0	0	0	0
Lenovo Tech World	740965812714897409	0	0	0	1	0	0	0	0	0
Lenovo Tech World	740968117745156096	0	0	0	0	0	0	0	0	1
Lenovo Tech World	740968518405890048	0	0	0	1	0	0	0	0	0
Lenovo Tech World	740968683208511490	0	0	0	1	0	0	0	0	0
Lenovo Tech World	740971059869011973	0	0	1	0	0	0	0	0	0
Lenovo Tech World	740971159966121984	0	0	0	0	0	0	0	0	0
Lenovo Tech World	740972435978080256	0	0	0	1	0	0	0	0	0
Lenovo Tech World	740972467938820096	0	0	0	1	0	0	0	0	0
Lenovo Tech World	740973024325697536	1	0	0	0	0	0	0	0	0
Lenovo Tech World	740973053262209027	0	0	1	1	0	0	0	0	0
Lenovo Tech World	740973888834768897	1	0	1	0	0	0	0	0	0
Lenovo Tech World	740974038026047488	0	0	0	1	0	0	0	0	0
Lenovo Tech World	740974761904353280	0	0	1	0	0	0	0	0	0
Lenovo Tech World	740974779671453696	0	0	1	0	0	0	0	0	0
Lenovo Tech World	740976117364842496	0	0	0	1	0	0	0	0	0
Lenovo Tech World	740976175116255233	1	0	0	0	0	0	0	0	0
Lenovo Tech World	740977899994513408	0	0	0	1	0	0	0	0	0
Lenovo Tech World	740979631449374721	1	0	1	0	0	0	0	0	0
Lenovo Tech World	740991914179072000	0	0	0	0	0	0	0	0	0
Lenovo Tech World	740999037642493952	0	0	1	0	0	0	0	0	0
Lenovo Tech World	741001212015706113	0	0	0	0	0	0	0	0	0
Lenovo Tech World	741023206954373120	0	0	0	0	0	0	0	0	0
Lenovo Tech World	741027712769228800	1	0	0	0	0	0	0	0	0
Lenovo Tech World	741032004519493632	1	0	0	0	0	0	0	0	0
Lenovo Tech World	741042257055256576	1	0	0	1	0	0	0	0	0
Lenovo Tech World	741044593521745921	0	0	1	0	0	0	0	0	0
Lenovo Tech World	741052155566510080	0	0	1	0	0	0	0	0	0
Lenovo Tech World	741073143314403328	0	0	0	0	0	0	0	0	0
Monaco Grand Prix	736450028919742468	0	0	0	0	0	0	0	0	0
Monaco Grand Prix	736516119104737280	1	0	0	0	0	0	0	0	0
Monaco Grand Prix	736531623001329664	0	0	0	0	0	0	0	0	0
Monaco Grand Prix	736531668866084864	1	0	0	0	0	0	0	0	0
Monaco Grand Prix	736542209059770368	0	0	0	0	0	0	0	0	0
Monaco Grand Prix	736542278064345088	1	0	0	1	0	0	0	0	0
Monaco Grand Prix	736542366119530496	1	0	0	0	0	0	0	0	0
Monaco Grand Prix	736543529896443904	1	0	0	0	0	0	0	0	0
Monaco Grand Prix	736545276232634368	1	0	0	0	0	0	0	0	0
Monaco Grand Prix	736545329282043906	1	0	0	0	0	0	0	0	0
Monaco Grand Prix	736545427999367168	1	0	0	0	0	0	0	0	0
Monaco Grand Prix	736545461289558016	0	0	0	1	0	0	0	0	0
Monaco Grand Prix	736545529107189760	1	0	0	0	0	0	0	0	0
Monaco Grand Prix	736545637286739968	0	0	0	1	0	0	0	0	0
Monaco Grand Prix	736547010556395520	1	0	0	0	0	0	0	0	0
Monaco Grand Prix	736574486418358273	0	0	0	0	0	0	0	0	0
Monaco Grand Prix	736581716735885316	1	0	0	1	0	0	0	0	0
Monaco Grand Prix	736853721489907712	0	0	0	1	0	0	0	0	0
Monaco Grand Prix	736855628254175233	0	0	0	0	0	0	0	0	0
Monaco Grand Prix	736876183388889088	0	1	0	0	0	0	0	0	0
Monaco Grand Prix	736886593668014080	0	0	0	0	0	0	0	0	0
Monaco Grand Prix	736886618905157634	0	0	0	1	0	0	0	0	0
Monaco Grand Prix	736887593682542592	1	0	0	1	0	0	0	0	0
Monaco Grand Prix	736889916530036736	1	0	0	0	0	0	0	0	0
Monaco Grand Prix	736891654569873408	1	0	0	1	0	0	0	0	0
Monaco Grand Prix	736891702611456000	0	0	0	1	0	0	0	0	0
Monaco Grand Prix	736892919752327168	0	0	0	0	0	0	0	0	0
Monaco Grand Prix	736893002543665152	0	0	0	0	0	0	0	0	0
Monaco Grand Prix	736893415296798720	1	0	0	0	0	0	0	0	0
Monaco Grand Prix	736895898769338368	0	0	0	1	0	0	0	0	0
Monaco Grand Prix	736895908776968193	1	0	0	0	0	0	0	0	0
